question_template,program,state,model,question_type,unique_answers,total_runs
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,CA,anthropic/claude-opus-4.7,response_time,2,5
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,CA,google/gemma-4-26b-a4b-it,response_time,5,5
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,CA,openai/gpt-oss-120b:free,response_time,2,5
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,MA,anthropic/claude-opus-4.7,response_time,1,5
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,MA,google/gemma-4-26b-a4b-it,response_time,1,5
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,MA,openai/gpt-oss-120b:free,response_time,4,5
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,NY,anthropic/claude-opus-4.7,response_time,1,5
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,NY,google/gemma-4-26b-a4b-it,response_time,5,5
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,NY,openai/gpt-oss-120b:free,response_time,5,5
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,RI,anthropic/claude-opus-4.7,response_time,1,5
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,RI,google/gemma-4-26b-a4b-it,response_time,4,5
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,RI,openai/gpt-oss-120b:free,response_time,5,5
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,TX,anthropic/claude-opus-4.7,response_time,1,5
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,TX,google/gemma-4-26b-a4b-it,response_time,1,5
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,TX,openai/gpt-oss-120b:free,response_time,1,5
What is the state-level administration address for {program} in {state}?,SNAP,CA,anthropic/claude-opus-4.7,address,1,5
What is the state-level administration address for {program} in {state}?,SNAP,CA,google/gemma-4-26b-a4b-it,address,4,5
What is the state-level administration address for {program} in {state}?,SNAP,CA,openai/gpt-oss-120b:free,address,2,5
What is the state-level administration address for {program} in {state}?,SNAP,MA,anthropic/claude-opus-4.7,address,1,5
What is the state-level administration address for {program} in {state}?,SNAP,MA,google/gemma-4-26b-a4b-it,address,2,5
What is the state-level administration address for {program} in {state}?,SNAP,MA,openai/gpt-oss-120b:free,address,3,5
What is the state-level administration address for {program} in {state}?,SNAP,NY,anthropic/claude-opus-4.7,address,1,5
What is the state-level administration address for {program} in {state}?,SNAP,NY,google/gemma-4-26b-a4b-it,address,3,5
What is the state-level administration address for {program} in {state}?,SNAP,NY,openai/gpt-oss-120b:free,address,4,5
What is the state-level administration address for {program} in {state}?,SNAP,RI,anthropic/claude-opus-4.7,address,1,5
What is the state-level administration address for {program} in {state}?,SNAP,RI,google/gemma-4-26b-a4b-it,address,1,5
What is the state-level administration address for {program} in {state}?,SNAP,RI,openai/gpt-oss-120b:free,address,4,5
What is the state-level administration address for {program} in {state}?,SNAP,TX,anthropic/claude-opus-4.7,address,1,5
What is the state-level administration address for {program} in {state}?,SNAP,TX,google/gemma-4-26b-a4b-it,address,2,5
What is the state-level administration address for {program} in {state}?,SNAP,TX,openai/gpt-oss-120b:free,address,3,5
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,CA,anthropic/claude-opus-4.7,phone,1,5
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,CA,google/gemma-4-26b-a4b-it,phone,5,5
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,CA,openai/gpt-oss-120b:free,phone,5,5
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,MA,anthropic/claude-opus-4.7,phone,2,5
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,MA,google/gemma-4-26b-a4b-it,phone,5,5
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,MA,openai/gpt-oss-120b:free,phone,5,5
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,NY,anthropic/claude-opus-4.7,phone,1,5
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,NY,google/gemma-4-26b-a4b-it,phone,5,5
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,NY,openai/gpt-oss-120b:free,phone,5,5
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,RI,anthropic/claude-opus-4.7,phone,3,5
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,RI,google/gemma-4-26b-a4b-it,phone,4,5
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,RI,openai/gpt-oss-120b:free,phone,5,5
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,TX,anthropic/claude-opus-4.7,phone,1,5
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,TX,google/gemma-4-26b-a4b-it,phone,4,5
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,TX,openai/gpt-oss-120b:free,phone,5,5
Which agency administers {program} in {state}?,SNAP,CA,anthropic/claude-opus-4.7,agency,1,5
Which agency administers {program} in {state}?,SNAP,CA,google/gemma-4-26b-a4b-it,agency,1,5
Which agency administers {program} in {state}?,SNAP,CA,openai/gpt-oss-120b:free,agency,4,5
Which agency administers {program} in {state}?,SNAP,MA,anthropic/claude-opus-4.7,agency,1,5
Which agency administers {program} in {state}?,SNAP,MA,google/gemma-4-26b-a4b-it,agency,1,5
Which agency administers {program} in {state}?,SNAP,MA,openai/gpt-oss-120b:free,agency,2,5
Which agency administers {program} in {state}?,SNAP,NY,anthropic/claude-opus-4.7,agency,2,5
Which agency administers {program} in {state}?,SNAP,NY,google/gemma-4-26b-a4b-it,agency,2,5
Which agency administers {program} in {state}?,SNAP,NY,openai/gpt-oss-120b:free,agency,2,5
Which agency administers {program} in {state}?,SNAP,RI,anthropic/claude-opus-4.7,agency,1,5
Which agency administers {program} in {state}?,SNAP,RI,google/gemma-4-26b-a4b-it,agency,2,5
Which agency administers {program} in {state}?,SNAP,RI,openai/gpt-oss-120b:free,agency,2,5
Which agency administers {program} in {state}?,SNAP,TX,anthropic/claude-opus-4.7,agency,1,5
Which agency administers {program} in {state}?,SNAP,TX,google/gemma-4-26b-a4b-it,agency,1,5
Which agency administers {program} in {state}?,SNAP,TX,openai/gpt-oss-120b:free,agency,1,5
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,CA,anthropic/claude-opus-4.7,email,4,5
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,CA,google/gemma-4-26b-a4b-it,email,5,5
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,CA,openai/gpt-oss-120b:free,email,5,5
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,MA,anthropic/claude-opus-4.7,email,3,5
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,MA,google/gemma-4-26b-a4b-it,email,3,5
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,MA,openai/gpt-oss-120b:free,email,5,5
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,NY,anthropic/claude-opus-4.7,email,1,5
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,NY,google/gemma-4-26b-a4b-it,email,4,5
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,NY,openai/gpt-oss-120b:free,email,5,5
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,RI,anthropic/claude-opus-4.7,email,3,5
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,RI,google/gemma-4-26b-a4b-it,email,3,5
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,RI,openai/gpt-oss-120b:free,email,3,5
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,TX,anthropic/claude-opus-4.7,email,4,5
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,TX,google/gemma-4-26b-a4b-it,email,4,5
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,TX,openai/gpt-oss-120b:free,email,4,5
